Begin,End,Label,Type,Speaker
0.57,0.93,hvort,words,012977
0.93,1.02,er,words,012977
1.02,1.35,rétt,words,012977
1.41,1.53,og,words,012977
1.53,1.88,hvers,words,012977
1.88,2.18,vegna,words,012977
0.57,0.66,k,phones,012977
0.66,0.68,v,phones,012977
0.68,0.76,ɔ,phones,012977
0.76,0.85,r̥,phones,012977
0.85,0.93,t,phones,012977
0.93,0.99,ɛː,phones,012977
0.99,1.02,r,phones,012977
1.02,1.04,r,phones,012977
1.04,1.14,j,phones,012977
1.14,1.21,ɛ,phones,012977
1.21,1.3,h,phones,012977
1.3,1.35,t,phones,012977
1.41,1.48,ɔː,phones,012977
1.48,1.53,ɣ,phones,012977
1.53,1.62,k,phones,012977
1.62,1.64,v,phones,012977
1.64,1.71,ɛ,phones,012977
1.71,1.76,r̥,phones,012977
1.76,1.88,s,phones,012977
1.88,1.9,v,phones,012977
1.9,2.0,ɛ,phones,012977
2.0,2.06,k,phones,012977
2.06,2.14,n,phones,012977
2.14,2.18,a,phones,012977
