Begin,End,Label,Type,Speaker
1.2,1.57,frekara,words,010615
1.57,2.07,lesefni,words,010615
2.07,2.17,á,words,010615
2.17,2.83,vísindavefnum,words,010615
3.16,3.37,hvað,words,010615
3.37,3.83,merkja,words,010615
3.83,4.43,litirnir,words,010615
4.43,4.5,í,words,010615
4.5,5.12,fána,words,010615
5.12,5.86,álendinga,words,010615
1.2,1.28,f,phones,010615
1.28,1.29,r,phones,010615
1.29,1.41,ɛː,phones,010615
1.41,1.46,k,phones,010615
1.46,1.51,a,phones,010615
1.51,1.52,r,phones,010615
1.52,1.57,a,phones,010615
1.57,1.64,l,phones,010615
1.64,1.71,ɛː,phones,010615
1.71,1.81,s,phones,010615
1.81,1.88,ɛ,phones,010615
1.88,1.95,p,phones,010615
1.95,2.01,n,phones,010615
2.01,2.07,ɪ,phones,010615
2.07,2.17,auː,phones,010615
2.17,2.19,v,phones,010615
2.19,2.26,iː,phones,010615
2.26,2.31,s,phones,010615
2.31,2.34,ɪ,phones,010615
2.34,2.37,n,phones,010615
2.37,2.4,t,phones,010615
2.4,2.44,a,phones,010615
2.44,2.46,v,phones,010615
2.46,2.54,ɛ,phones,010615
2.54,2.57,p,phones,010615
2.57,2.63,n,phones,010615
2.63,2.68,ʏ,phones,010615
2.68,2.83,m,phones,010615
3.16,3.25,k,phones,010615
3.25,3.27,v,phones,010615
3.27,3.36,aː,phones,010615
3.36,3.37,ð,phones,010615
3.37,3.44,m,phones,010615
3.44,3.51,ɛ,phones,010615
3.51,3.63,r̥,phones,010615
3.63,3.7,c,phones,010615
3.7,3.83,a,phones,010615
3.83,3.95,l,phones,010615
3.95,4.11,ɪː,phones,010615
4.11,4.18,t,phones,010615
4.18,4.26,ɪ,phones,010615
4.26,4.3,t,phones,010615
4.3,4.37,n,phones,010615
4.37,4.42,ɪ,phones,010615
4.42,4.43,r,phones,010615
4.43,4.5,iː,phones,010615
4.5,4.62,f,phones,010615
4.62,4.77,auː,phones,010615
4.77,4.87,n,phones,010615
4.87,5.12,a,phones,010615
5.12,5.86,spn,phones,010615
