Begin,End,Label,Type,Speaker
0.95,1.26,hver,words,008597
1.26,1.68,er,words,008597
1.68,2.31,efnahagsstaða,words,008597
2.31,2.93,egypta,words,008597
0.95,1.05,k,phones,008597
1.05,1.07,v,phones,008597
1.07,1.25,ɛː,phones,008597
1.25,1.26,r,phones,008597
1.26,1.6,ɛː,phones,008597
1.6,1.68,r,phones,008597
1.68,2.31,spn,phones,008597
2.31,2.55,ɛː,phones,008597
2.55,2.63,c,phones,008597
2.63,2.67,ɪ,phones,008597
2.67,2.74,f,phones,008597
2.74,2.82,t,phones,008597
2.82,2.93,a,phones,008597
