Begin,End,Label,Type,Speaker
0.98,1.77,aðalveig,words,014662
2.13,2.48,hvað,words,014662
2.48,2.55,er,words,014662
2.55,3.29,lengi,words,014662
3.32,3.78,opið,words,014662
3.78,4.09,í,words,014662
4.09,5.19,melabúðinni,words,014662
0.98,1.77,spn,phones,014662
2.13,2.25,k,phones,014662
2.25,2.27,v,phones,014662
2.27,2.36,aː,phones,014662
2.36,2.48,ð,phones,014662
2.48,2.52,ɛː,phones,014662
2.52,2.55,r,phones,014662
2.55,2.63,l,phones,014662
2.63,2.69,ei,phones,014662
2.69,2.91,ɲ,phones,014662
2.91,2.98,c,phones,014662
2.98,3.29,ɪ,phones,014662
3.32,3.61,ɔː,phones,014662
3.61,3.73,p,phones,014662
3.73,3.77,ɪ,phones,014662
3.77,3.78,ð,phones,014662
3.78,4.09,iː,phones,014662
4.09,4.25,m,phones,014662
4.25,4.4,ɛː,phones,014662
4.4,4.52,l,phones,014662
4.52,4.64,a,phones,014662
4.64,4.73,p,phones,014662
4.73,4.8,uː,phones,014662
4.8,4.92,ð,phones,014662
4.92,4.99,ɪ,phones,014662
4.99,5.05,n,phones,014662
5.05,5.19,ɪ,phones,014662
