Begin,End,Label,Type,Speaker
0.53,0.98,frekara,words,015099
0.98,1.55,lesefni,words,015099
1.55,1.67,af,words,015099
1.67,2.63,vísindavefnum,words,015099
2.75,3.0,er,words,015099
3.03,3.46,hraðinn,words,015099
3.46,3.6,í,words,015099
3.6,4.01,þróun,words,015099
4.01,5.01,tölvutækninnar,words,015099
5.01,5.43,kominn,words,015099
5.43,5.47,á,words,015099
5.47,6.12,ljóshraða,words,015099
0.53,0.63,f,phones,015099
0.63,0.64,r,phones,015099
0.64,0.77,ɛː,phones,015099
0.77,0.87,k,phones,015099
0.87,0.91,a,phones,015099
0.91,0.92,r,phones,015099
0.92,0.98,a,phones,015099
0.98,1.06,l,phones,015099
1.06,1.17,ɛː,phones,015099
1.17,1.3,s,phones,015099
1.3,1.38,ɛ,phones,015099
1.38,1.47,p,phones,015099
1.47,1.51,n,phones,015099
1.51,1.55,ɪ,phones,015099
1.55,1.65,aː,phones,015099
1.65,1.67,v,phones,015099
1.67,1.69,v,phones,015099
1.69,1.77,iː,phones,015099
1.77,1.88,s,phones,015099
1.88,1.93,ɪ,phones,015099
1.93,1.99,n,phones,015099
1.99,2.06,t,phones,015099
2.06,2.16,a,phones,015099
2.16,2.18,v,phones,015099
2.18,2.27,ɛ,phones,015099
2.27,2.4,p,phones,015099
2.4,2.43,n,phones,015099
2.43,2.46,ʏ,phones,015099
2.46,2.63,m,phones,015099
2.75,2.86,ɛː,phones,015099
2.86,3.0,r,phones,015099
3.03,3.06,r̥,phones,015099
3.06,3.24,aː,phones,015099
3.24,3.33,ð,phones,015099
3.33,3.39,ɪ,phones,015099
3.39,3.46,n,phones,015099
3.46,3.6,iː,phones,015099
3.6,3.61,θ,phones,015099
3.61,3.7,r,phones,015099
3.7,3.84,ouː,phones,015099
3.84,3.93,ʏ,phones,015099
3.93,4.01,n,phones,015099
4.01,4.1,tʰ,phones,015099
4.1,4.14,œ,phones,015099
4.14,4.26,l,phones,015099
4.26,4.28,v,phones,015099
4.28,4.37,ʏ,phones,015099
4.37,4.48,t,phones,015099
4.48,4.53,ai,phones,015099
4.53,4.59,h,phones,015099
4.59,4.64,k,phones,015099
4.64,4.68,n,phones,015099
4.68,4.75,ɪ,phones,015099
4.75,4.83,n,phones,015099
4.83,4.93,a,phones,015099
4.93,5.01,r,phones,015099
5.01,5.15,kʰ,phones,015099
5.15,5.2,ɔː,phones,015099
5.2,5.32,m,phones,015099
5.32,5.36,ɪ,phones,015099
5.36,5.43,n,phones,015099
5.43,5.47,auː,phones,015099
5.47,5.55,l,phones,015099
5.55,5.62,j,phones,015099
5.62,5.7,ouː,phones,015099
5.7,5.89,s,phones,015099
5.89,5.92,r̥,phones,015099
5.92,5.97,aː,phones,015099
5.97,5.98,ð,phones,015099
5.98,6.12,a,phones,015099
