Begin,End,Label,Type,Speaker
0.24,0.5,hvar,words,013288
0.5,0.85,fannstu,words,013288
0.85,1.14,herra,words,013288
1.61,2.5,takashi,words,013288
0.24,0.33,k,phones,013288
0.33,0.35,v,phones,013288
0.35,0.44,aː,phones,013288
0.44,0.5,r,phones,013288
0.5,0.56,f,phones,013288
0.56,0.64,a,phones,013288
0.64,0.69,n,phones,013288
0.69,0.77,s,phones,013288
0.77,0.81,t,phones,013288
0.81,0.85,ʏ,phones,013288
0.85,0.9,h,phones,013288
0.9,0.98,ɛ,phones,013288
0.98,0.99,r,phones,013288
0.99,1.14,a,phones,013288
1.61,2.5,spn,phones,013288
