Begin,End,Label,Type,Speaker
0.4,0.81,hvar,words,016346
0.81,0.92,á,words,016346
0.92,1.57,íslandi,words,016346
1.61,2.0,finnst,words,016346
2.0,3.0,skógarmítill,words,016346
3.03,3.74,aðallega,words,016346
0.4,0.52,k,phones,016346
0.52,0.54,v,phones,016346
0.54,0.72,aː,phones,016346
0.72,0.81,r,phones,016346
0.81,0.92,auː,phones,016346
0.92,1.02,i,phones,016346
1.02,1.12,s,phones,016346
1.12,1.16,t,phones,016346
1.16,1.2,l,phones,016346
1.2,1.25,a,phones,016346
1.25,1.32,n,phones,016346
1.32,1.38,t,phones,016346
1.38,1.57,ɪ,phones,016346
1.61,1.71,f,phones,016346
1.71,1.76,ɪ,phones,016346
1.76,1.84,n,phones,016346
1.84,1.97,s,phones,016346
1.97,2.0,t,phones,016346
2.0,3.0,spn,phones,016346
3.03,3.26,aː,phones,016346
3.26,3.27,ð,phones,016346
3.27,3.35,a,phones,016346
3.35,3.44,l,phones,016346
3.44,3.52,ɛ,phones,016346
3.52,3.54,ɣ,phones,016346
3.54,3.74,a,phones,016346
