Begin,End,Label,Type,Speaker
0.19,0.44,hver,words,012158
0.44,0.87,skrifaði,words,012158
0.87,1.81,sjálfsævisöguna,words,012158
2.1,2.77,geðveikt,words,012158
2.83,3.04,með,words,012158
3.04,3.47,köflum,words,012158
0.19,0.27,k,phones,012158
0.27,0.29,v,phones,012158
0.29,0.43,ɛː,phones,012158
0.43,0.44,r,phones,012158
0.44,0.54,s,phones,012158
0.54,0.6,k,phones,012158
0.6,0.61,r,phones,012158
0.61,0.72,ɪː,phones,012158
0.72,0.74,v,phones,012158
0.74,0.78,a,phones,012158
0.78,0.84,ð,phones,012158
0.84,0.87,ɪ,phones,012158
0.87,1.81,spn,phones,012158
2.1,2.18,c,phones,012158
2.18,2.22,ɛ,phones,012158
2.22,2.38,ð,phones,012158
2.38,2.4,v,phones,012158
2.4,2.46,ei,phones,012158
2.46,2.59,x,phones,012158
2.59,2.77,t,phones,012158
2.83,2.89,m,phones,012158
2.89,3.03,ɛː,phones,012158
3.03,3.04,ð,phones,012158
3.04,3.16,kʰ,phones,012158
3.16,3.22,œ,phones,012158
3.22,3.35,p,phones,012158
3.35,3.39,l,phones,012158
3.39,3.42,ʏ,phones,012158
3.42,3.47,m,phones,012158
