Begin,End,Label,Type,Speaker
1.36,1.47,væri,words,017332
1.47,1.54,það,words,017332
1.54,1.66,ekki,words,017332
1.66,1.87,gaman,words,017332
1.36,1.4,v,phones,017332
1.4,1.43,ai,phones,017332
1.43,1.44,r,phones,017332
1.44,1.47,ɪ,phones,017332
1.47,1.48,θ,phones,017332
1.48,1.51,aː,phones,017332
1.51,1.54,ð,phones,017332
1.54,1.57,ɛ,phones,017332
1.57,1.6,h,phones,017332
1.6,1.63,c,phones,017332
1.63,1.66,ɪ,phones,017332
1.66,1.69,k,phones,017332
1.69,1.7,aː,phones,017332
1.7,1.76,m,phones,017332
1.76,1.79,a,phones,017332
1.79,1.87,n,phones,017332
