Begin,End,Label,Type,Speaker
1.05,1.51,gætu,words,014226
1.51,1.81,þessar,words,014226
1.81,2.65,reikistjörnur,words,014226
2.65,2.75,þá,words,014226
2.75,3.03,ekki,words,014226
3.03,3.55,rekist,words,014226
3.55,3.8,hvor,words,014226
3.8,3.9,á,words,014226
3.9,4.39,aðra,words,014226
1.05,1.11,c,phones,014226
1.11,1.33,aiː,phones,014226
1.33,1.4,t,phones,014226
1.4,1.51,ʏ,phones,014226
1.51,1.52,θ,phones,014226
1.52,1.59,ɛ,phones,014226
1.59,1.68,s,phones,014226
1.68,1.76,a,phones,014226
1.76,1.81,r,phones,014226
1.81,1.83,r,phones,014226
1.83,1.99,eiː,phones,014226
1.99,2.06,c,phones,014226
2.06,2.1,ɪ,phones,014226
2.1,2.19,s,phones,014226
2.19,2.22,t,phones,014226
2.22,2.26,j,phones,014226
2.26,2.32,œ,phones,014226
2.32,2.39,r,phones,014226
2.39,2.44,t,phones,014226
2.44,2.48,n,phones,014226
2.48,2.55,ʏ,phones,014226
2.55,2.65,r,phones,014226
2.65,2.66,θ,phones,014226
2.66,2.75,auː,phones,014226
2.75,2.82,ɛ,phones,014226
2.82,2.89,h,phones,014226
2.89,2.95,c,phones,014226
2.95,3.03,ɪ,phones,014226
3.03,3.05,r,phones,014226
3.05,3.26,ɛː,phones,014226
3.26,3.33,c,phones,014226
3.33,3.38,ɪ,phones,014226
3.38,3.46,s,phones,014226
3.46,3.55,t,phones,014226
3.55,3.64,k,phones,014226
3.64,3.66,v,phones,014226
3.66,3.79,ɔː,phones,014226
3.79,3.8,r,phones,014226
3.8,3.9,auː,phones,014226
3.9,4.05,a,phones,014226
4.05,4.18,ð,phones,014226
4.18,4.24,r,phones,014226
4.24,4.39,a,phones,014226
