Begin,End,Label,Type,Speaker
0.77,1.56,geirröður,words,012062
1.96,2.23,viltu,words,012062
2.23,2.64,hoppa,words,012062
2.64,2.81,með,words,012062
2.81,3.2,mér,words,012062
0.77,1.56,spn,phones,012062
1.96,2.01,v,phones,012062
2.01,2.05,ɪ,phones,012062
2.05,2.07,l̥,phones,012062
2.07,2.2,t,phones,012062
2.2,2.23,ʏ,phones,012062
2.23,2.33,h,phones,012062
2.33,2.41,ɔ,phones,012062
2.41,2.53,h,phones,012062
2.53,2.59,p,phones,012062
2.59,2.64,a,phones,012062
2.64,2.73,m,phones,012062
2.73,2.8,ɛː,phones,012062
2.8,2.81,ð,phones,012062
2.81,2.91,m,phones,012062
2.91,2.95,j,phones,012062
2.95,2.99,ɛː,phones,012062
2.99,3.2,r,phones,012062
