Begin,End,Label,Type,Speaker
1.11,1.32,pabbi,words,027080
1.32,1.53,sá,words,027080
1.53,2.01,apa,words,027080
2.93,2.99,í,words,027080
2.99,3.47,garðinum,words,027080
1.11,1.14,pʰ,phones,027080
1.14,1.21,a,phones,027080
1.21,1.27,p,phones,027080
1.27,1.32,ɪ,phones,027080
1.32,1.44,s,phones,027080
1.44,1.53,auː,phones,027080
1.53,1.59,aː,phones,027080
1.59,1.79,p,phones,027080
1.79,2.01,a,phones,027080
2.93,2.99,iː,phones,027080
2.99,3.05,k,phones,027080
3.05,3.11,a,phones,027080
3.11,3.17,r,phones,027080
3.17,3.21,ð,phones,027080
3.21,3.28,ɪ,phones,027080
3.28,3.35,n,phones,027080
3.35,3.38,ʏ,phones,027080
3.38,3.47,m,phones,027080
