Begin,End,Label,Type,Speaker
0.66,1.05,við,words,027675
1.05,1.38,ætlum,words,027675
1.38,1.47,að,words,027675
1.47,1.73,gera,words,027675
1.73,2.29,verkefni,words,027675
2.29,2.47,í,words,027675
2.47,3.29,hafnarfirði,words,027675
0.66,0.73,v,phones,027675
0.73,1.04,ɪː,phones,027675
1.04,1.05,ð,phones,027675
1.05,1.18,ai,phones,027675
1.18,1.21,h,phones,027675
1.21,1.28,t,phones,027675
1.28,1.31,l,phones,027675
1.31,1.34,ʏ,phones,027675
1.34,1.38,m,phones,027675
1.38,1.46,aː,phones,027675
1.46,1.47,ð,phones,027675
1.47,1.54,c,phones,027675
1.54,1.61,ɛː,phones,027675
1.61,1.62,r,phones,027675
1.62,1.73,a,phones,027675
1.73,1.75,v,phones,027675
1.75,1.82,ɛ,phones,027675
1.82,2.0,r̥,phones,027675
2.0,2.05,k,phones,027675
2.05,2.12,ɛ,phones,027675
2.12,2.16,p,phones,027675
2.16,2.23,n,phones,027675
2.23,2.29,ɪ,phones,027675
2.29,2.47,iː,phones,027675
2.47,2.56,h,phones,027675
2.56,2.67,a,phones,027675
2.67,2.72,p,phones,027675
2.72,2.79,n,phones,027675
2.79,2.84,a,phones,027675
2.84,2.92,r,phones,027675
2.92,2.97,f,phones,027675
2.97,3.03,ɪ,phones,027675
3.03,3.04,r,phones,027675
3.04,3.11,ð,phones,027675
3.11,3.29,ɪ,phones,027675
