Begin,End,Label,Type,Speaker
0.21,0.3,við,words,024931
0.3,0.75,sendum,words,024931
0.75,1.05,bréf,words,024931
1.05,1.18,til,words,024931
1.18,1.78,englands,words,024931
1.95,2.23,hvert,words,024931
2.23,2.54,sendið,words,024931
2.54,2.67,þið,words,024931
2.67,2.98,bréf,words,024931
0.21,0.26,v,phones,024931
0.26,0.29,ɪː,phones,024931
0.29,0.3,ð,phones,024931
0.3,0.4,s,phones,024931
0.4,0.49,ɛ,phones,024931
0.49,0.59,n,phones,024931
0.59,0.63,t,phones,024931
0.63,0.67,ʏ,phones,024931
0.67,0.75,m,phones,024931
0.75,0.84,p,phones,024931
0.84,0.85,r,phones,024931
0.85,0.91,j,phones,024931
0.91,0.98,ɛː,phones,024931
0.98,1.05,v,phones,024931
1.05,1.1,tʰ,phones,024931
1.1,1.15,ɪː,phones,024931
1.15,1.18,l,phones,024931
1.18,1.33,ei,phones,024931
1.33,1.47,ŋ,phones,024931
1.47,1.5,l,phones,024931
1.5,1.57,a,phones,024931
1.57,1.6,n,phones,024931
1.6,1.65,t,phones,024931
1.65,1.78,s,phones,024931
1.95,2.02,k,phones,024931
2.02,2.04,v,phones,024931
2.04,2.08,ɛ,phones,024931
2.08,2.17,r̥,phones,024931
2.17,2.23,t,phones,024931
2.23,2.28,s,phones,024931
2.28,2.33,ɛ,phones,024931
2.33,2.38,n,phones,024931
2.38,2.43,t,phones,024931
2.43,2.53,ɪ,phones,024931
2.53,2.54,ð,phones,024931
2.54,2.55,θ,phones,024931
2.55,2.66,ɪː,phones,024931
2.66,2.67,ð,phones,024931
2.67,2.78,p,phones,024931
2.78,2.79,r,phones,024931
2.79,2.88,j,phones,024931
2.88,2.92,ɛː,phones,024931
2.92,2.98,v,phones,024931
