Begin,End,Label,Type,Speaker
0.55,0.75,á,words,027675
0.75,1.16,degi,words,027675
1.16,1.85,íslenskrar,words,027675
1.85,2.34,tungu,words,027675
2.34,2.54,eru,words,027675
2.54,3.11,margir,words,027675
3.11,3.86,viðburðir,words,027675
0.55,0.75,auː,phones,027675
0.75,0.79,t,phones,027675
0.79,0.87,eiː,phones,027675
0.87,1.06,j,phones,027675
1.06,1.16,ɪ,phones,027675
1.16,1.26,i,phones,027675
1.26,1.33,s,phones,027675
1.33,1.38,t,phones,027675
1.38,1.42,l,phones,027675
1.42,1.49,ɛ,phones,027675
1.49,1.52,n,phones,027675
1.52,1.59,s,phones,027675
1.59,1.65,k,phones,027675
1.65,1.66,r,phones,027675
1.66,1.75,a,phones,027675
1.75,1.85,r,phones,027675
1.85,1.91,tʰ,phones,027675
1.91,1.96,u,phones,027675
1.96,2.14,ŋ,phones,027675
2.14,2.19,k,phones,027675
2.19,2.34,ʏ,phones,027675
2.34,2.47,ɛː,phones,027675
2.47,2.48,r,phones,027675
2.48,2.54,ʏ,phones,027675
2.54,2.63,m,phones,027675
2.63,2.8,a,phones,027675
2.8,2.92,r,phones,027675
2.92,2.98,c,phones,027675
2.98,3.03,ɪ,phones,027675
3.03,3.11,r,phones,027675
3.11,3.13,v,phones,027675
3.13,3.34,ɪ,phones,027675
3.34,3.35,ð,phones,027675
3.35,3.42,p,phones,027675
3.42,3.49,ʏ,phones,027675
3.49,3.5,r,phones,027675
3.5,3.55,ð,phones,027675
3.55,3.67,ɪ,phones,027675
3.67,3.86,r,phones,027675
