Begin,End,Label,Type,Speaker
0.29,0.7,ég,words,027675
0.7,0.94,borða,words,027675
0.94,1.35,ekki,words,027675
1.35,2.0,kjöt,words,027675
0.29,0.43,j,phones,027675
0.43,0.68,ɛː,phones,027675
0.68,0.7,ɣ,phones,027675
0.7,0.74,p,phones,027675
0.74,0.82,ɔ,phones,027675
0.82,0.83,r,phones,027675
0.83,0.88,ð,phones,027675
0.88,0.94,a,phones,027675
0.94,1.04,ɛ,phones,027675
1.04,1.18,h,phones,027675
1.18,1.24,c,phones,027675
1.24,1.35,ɪ,phones,027675
1.35,1.48,cʰ,phones,027675
1.48,1.72,œː,phones,027675
1.72,2.0,t,phones,027675
