Begin,End,Label,Type,Speaker
0.65,1.25,huginn,words,024874
1.28,1.32,er,words,024874
1.32,1.66,í,words,024874
1.66,2.19,löngu,words,024874
2.19,2.59,flugi,words,024874
0.65,0.68,h,phones,024874
0.68,0.69,ʏi,phones,024874
0.69,1.06,j,phones,024874
1.06,1.11,ɪ,phones,024874
1.11,1.25,n,phones,024874
1.28,1.31,ɛː,phones,024874
1.31,1.32,r,phones,024874
1.32,1.66,iː,phones,024874
1.66,1.71,l,phones,024874
1.71,1.77,œy,phones,024874
1.77,2.09,ŋ,phones,024874
2.09,2.15,k,phones,024874
2.15,2.19,ʏ,phones,024874
2.19,2.3,f,phones,024874
2.3,2.36,l,phones,024874
2.36,2.39,ʏː,phones,024874
2.39,2.56,j,phones,024874
2.56,2.59,ɪ,phones,024874
