Begin,End,Label,Type,Speaker
0.81,1.06,það,words,024743
1.09,1.44,eru,words,024743
1.44,1.94,oftast,words,024743
1.94,2.29,fimm,words,024743
2.29,2.95,fingur,words,024743
2.95,3.08,á,words,024743
3.08,3.41,einni,words,024743
3.41,3.95,hendi,words,024743
0.81,0.82,θ,phones,024743
0.82,1.05,aː,phones,024743
1.05,1.06,ð,phones,024743
1.09,1.3,ɛː,phones,024743
1.3,1.31,r,phones,024743
1.31,1.44,ʏ,phones,024743
1.44,1.59,ɔ,phones,024743
1.59,1.66,f,phones,024743
1.66,1.75,t,phones,024743
1.75,1.8,a,phones,024743
1.8,1.89,s,phones,024743
1.89,1.94,t,phones,024743
1.94,2.06,f,phones,024743
2.06,2.14,ɪ,phones,024743
2.14,2.29,m,phones,024743
2.29,2.44,f,phones,024743
2.44,2.53,i,phones,024743
2.53,2.67,ŋ,phones,024743
2.67,2.72,k,phones,024743
2.72,2.82,ʏ,phones,024743
2.82,2.95,r,phones,024743
2.95,3.08,auː,phones,024743
3.08,3.2,ei,phones,024743
3.2,3.3,t,phones,024743
3.3,3.35,n,phones,024743
3.35,3.41,ɪ,phones,024743
3.41,3.5,h,phones,024743
3.5,3.55,ɛ,phones,024743
3.55,3.75,n,phones,024743
3.75,3.81,t,phones,024743
3.81,3.95,ɪ,phones,024743
