Begin,End,Label,Type,Speaker
0.51,0.62,mig,words,028870
0.62,1.0,langar,words,028870
1.0,1.05,að,words,028870
1.05,1.33,fara,words,028870
1.33,1.58,til,words,028870
1.71,3.45,nýjasjálands,words,028870
0.51,0.57,m,phones,028870
0.57,0.6,ɪː,phones,028870
0.6,0.62,ɣ,phones,028870
0.62,0.68,l,phones,028870
0.68,0.78,au,phones,028870
0.78,0.9,ŋ,phones,028870
0.9,0.95,k,phones,028870
0.95,0.99,a,phones,028870
0.99,1.0,r,phones,028870
1.0,1.04,aː,phones,028870
1.04,1.05,ð,phones,028870
1.05,1.13,f,phones,028870
1.13,1.22,aː,phones,028870
1.22,1.23,r,phones,028870
1.23,1.33,a,phones,028870
1.33,1.41,tʰ,phones,028870
1.41,1.54,ɪː,phones,028870
1.54,1.58,l,phones,028870
1.71,1.88,n,phones,028870
1.88,2.19,iː,phones,028870
2.19,2.28,j,phones,028870
2.28,2.37,a,phones,028870
2.37,2.65,s,phones,028870
2.65,2.74,j,phones,028870
2.74,2.84,auː,phones,028870
2.84,3.03,l,phones,028870
3.03,3.16,a,phones,028870
3.16,3.21,n,phones,028870
3.21,3.31,t,phones,028870
3.31,3.45,s,phones,028870
