Begin,End,Label,Type,Speaker
0.58,0.73,ég,words,026915
0.73,0.81,er,words,026915
0.81,1.24,glaður,words,026915
1.24,1.3,þeir,words,026915
1.3,1.45,eru,words,026915
1.45,1.84,glaðir,words,026915
1.84,1.97,þær,words,026915
1.97,2.13,eru,words,026915
2.13,2.3,glaðar,words,026915
0.58,0.68,j,phones,026915
0.68,0.71,ɛː,phones,026915
0.71,0.73,ɣ,phones,026915
0.73,0.76,ɛː,phones,026915
0.76,0.81,r,phones,026915
0.81,0.86,k,phones,026915
0.86,0.9,l,phones,026915
0.9,0.97,aː,phones,026915
0.97,1.11,ð,phones,026915
1.11,1.14,ʏ,phones,026915
1.14,1.24,r,phones,026915
1.24,1.25,θ,phones,026915
1.25,1.29,eiː,phones,026915
1.29,1.3,r,phones,026915
1.3,1.39,ɛː,phones,026915
1.39,1.4,r,phones,026915
1.4,1.45,ʏ,phones,026915
1.45,1.52,k,phones,026915
1.52,1.56,l,phones,026915
1.56,1.62,aː,phones,026915
1.62,1.73,ð,phones,026915
1.73,1.76,ɪ,phones,026915
1.76,1.84,r,phones,026915
1.84,1.85,θ,phones,026915
1.85,1.96,aiː,phones,026915
1.96,1.97,r,phones,026915
1.97,2.0,ɛː,phones,026915
2.0,2.01,r,phones,026915
2.01,2.13,ʏ,phones,026915
2.13,2.17,k,phones,026915
2.17,2.2,l,phones,026915
2.2,2.23,aː,phones,026915
2.23,2.24,ð,phones,026915
2.24,2.27,a,phones,026915
2.27,2.3,r,phones,026915
