Begin,End,Label,Type,Speaker
0.53,0.95,síðan,words,028130
0.95,1.26,förum,words,028130
1.26,1.34,við,words,028130
1.34,1.75,aftur,words,028130
1.75,1.83,í,words,028130
1.83,2.33,skóna,words,028130
0.53,0.69,s,phones,028130
0.69,0.75,iː,phones,028130
0.75,0.83,ð,phones,028130
0.83,0.91,a,phones,028130
0.91,0.95,n,phones,028130
0.95,1.03,f,phones,028130
1.03,1.13,œː,phones,028130
1.13,1.14,r,phones,028130
1.14,1.21,ʏ,phones,028130
1.21,1.26,m,phones,028130
1.26,1.28,v,phones,028130
1.28,1.31,ɪː,phones,028130
1.31,1.34,ð,phones,028130
1.34,1.47,a,phones,028130
1.47,1.56,f,phones,028130
1.56,1.69,t,phones,028130
1.69,1.74,ʏ,phones,028130
1.74,1.75,r,phones,028130
1.75,1.83,iː,phones,028130
1.83,1.94,s,phones,028130
1.94,2.01,k,phones,028130
2.01,2.11,ou,phones,028130
2.11,2.21,n,phones,028130
2.21,2.33,a,phones,028130
