Begin,End,Label,Type,Speaker
0.81,1.56,skáld,words,024832
1.66,1.89,er,words,024832
1.89,2.45,einhver,words,024832
2.48,2.68,sem,words,024832
2.71,2.89,yrkir,words,024832
3.82,3.97,ljóð,words,024832
0.81,0.99,s,phones,024832
0.99,1.07,k,phones,024832
1.07,1.16,au,phones,024832
1.16,1.36,l,phones,024832
1.36,1.56,t,phones,024832
1.66,1.88,ɛː,phones,024832
1.88,1.89,r,phones,024832
1.89,2.01,ei,phones,024832
2.01,2.24,ŋ̊,phones,024832
2.24,2.3,k,phones,024832
2.3,2.32,v,phones,024832
2.32,2.38,ɛ,phones,024832
2.38,2.45,r,phones,024832
2.48,2.51,s,phones,024832
2.51,2.54,ɛː,phones,024832
2.54,2.68,m,phones,024832
2.71,2.75,ɪ,phones,024832
2.75,2.8,r̥,phones,024832
2.8,2.83,c,phones,024832
2.83,2.86,ɪ,phones,024832
2.86,2.89,r,phones,024832
3.82,3.88,l,phones,024832
3.88,3.91,j,phones,024832
3.91,3.94,ouː,phones,024832
3.94,3.97,ð,phones,024832
