Begin,End,Label,Type,Speaker
0.59,0.69,hér,words,025513
0.69,0.75,er,words,025513
0.75,1.09,líka,words,025513
1.09,1.72,skemmtilegt,words,025513
1.72,1.86,að,words,025513
1.86,2.18,vinna,words,025513
2.18,2.31,og,words,025513
2.31,2.78,búa,words,025513
0.59,0.6,ç,phones,025513
0.6,0.68,ɛː,phones,025513
0.68,0.69,r,phones,025513
0.69,0.72,ɛː,phones,025513
0.72,0.75,r,phones,025513
0.75,0.91,l,phones,025513
0.91,1.0,iː,phones,025513
1.0,1.04,k,phones,025513
1.04,1.09,a,phones,025513
1.09,1.17,s,phones,025513
1.17,1.23,c,phones,025513
1.23,1.27,ɛ,phones,025513
1.27,1.38,m̥,phones,025513
1.38,1.44,t,phones,025513
1.44,1.49,ɪ,phones,025513
1.49,1.52,l,phones,025513
1.52,1.57,ɛ,phones,025513
1.57,1.66,x,phones,025513
1.66,1.72,t,phones,025513
1.72,1.85,aː,phones,025513
1.85,1.86,ð,phones,025513
1.86,1.88,v,phones,025513
1.88,1.93,ɪ,phones,025513
1.93,2.11,n,phones,025513
2.11,2.18,a,phones,025513
2.18,2.25,ɔː,phones,025513
2.25,2.31,ɣ,phones,025513
2.31,2.41,p,phones,025513
2.41,2.61,uː,phones,025513
2.61,2.78,a,phones,025513
