Begin,End,Label,Type,Speaker
1.17,1.39,hvað,words,011661
1.39,1.66,heitir,words,011661
1.66,2.22,rokkhátíð,words,011661
2.22,2.81,alþýðunnar,words,011661
2.81,2.89,á,words,011661
2.89,3.59,ísafirði,words,011661
1.17,1.24,k,phones,011661
1.24,1.26,v,phones,011661
1.26,1.38,aː,phones,011661
1.38,1.39,ð,phones,011661
1.39,1.42,h,phones,011661
1.42,1.52,eiː,phones,011661
1.52,1.55,t,phones,011661
1.55,1.63,ɪ,phones,011661
1.63,1.66,r,phones,011661
1.66,1.68,r,phones,011661
1.68,1.77,ɔ,phones,011661
1.77,1.87,h,phones,011661
1.87,1.91,k,phones,011661
1.91,1.96,h,phones,011661
1.96,2.02,au,phones,011661
2.02,2.07,t,phones,011661
2.07,2.15,i,phones,011661
2.15,2.22,ð,phones,011661
2.22,2.32,a,phones,011661
2.32,2.45,l,phones,011661
2.45,2.46,θ,phones,011661
2.46,2.5,i,phones,011661
2.5,2.59,ð,phones,011661
2.59,2.63,ʏ,phones,011661
2.63,2.7,n,phones,011661
2.7,2.8,a,phones,011661
2.8,2.81,r,phones,011661
2.81,2.89,auː,phones,011661
2.89,3.01,iː,phones,011661
3.01,3.13,s,phones,011661
3.13,3.18,a,phones,011661
3.18,3.25,f,phones,011661
3.25,3.3,ɪ,phones,011661
3.3,3.31,r,phones,011661
3.31,3.37,ð,phones,011661
3.37,3.59,ɪ,phones,011661
