Begin,End,Label,Type,Speaker
0.88,1.28,hverjir,words,013025
1.28,1.58,verða,words,013025
1.58,2.3,lykilmenn,words,013025
2.3,2.43,hjá,words,013025
2.43,2.69,ykkur,words,013025
2.69,2.76,í,words,013025
2.76,3.15,sumar,words,013025
0.88,0.99,k,phones,013025
0.99,1.01,v,phones,013025
1.01,1.07,ɛ,phones,013025
1.07,1.08,r,phones,013025
1.08,1.16,j,phones,013025
1.16,1.19,ɪ,phones,013025
1.19,1.28,r,phones,013025
1.28,1.3,v,phones,013025
1.3,1.37,ɛ,phones,013025
1.37,1.38,r,phones,013025
1.38,1.49,ð,phones,013025
1.49,1.58,a,phones,013025
1.58,1.71,l,phones,013025
1.71,1.81,ɪː,phones,013025
1.81,1.88,c,phones,013025
1.88,1.92,ɪ,phones,013025
1.92,2.02,l,phones,013025
2.02,2.07,m,phones,013025
2.07,2.12,ɛ,phones,013025
2.12,2.3,n,phones,013025
2.3,2.31,ç,phones,013025
2.31,2.43,auː,phones,013025
2.43,2.48,ɪ,phones,013025
2.48,2.57,h,phones,013025
2.57,2.63,k,phones,013025
2.63,2.68,ʏ,phones,013025
2.68,2.69,r,phones,013025
2.69,2.76,iː,phones,013025
2.76,2.9,s,phones,013025
2.9,2.98,ʏː,phones,013025
2.98,3.06,m,phones,013025
3.06,3.1,a,phones,013025
3.1,3.15,r,phones,013025
