Begin,End,Label,Type,Speaker
1.13,1.47,eru,words,015054
1.47,1.63,þau,words,015054
1.63,1.89,svo,words,015054
1.89,2.26,grimm,words,015054
2.26,2.41,að,words,015054
2.41,2.51,þau,words,015054
2.51,3.01,ráðist,words,015054
3.01,3.07,á,words,015054
3.07,3.46,menn,words,015054
1.13,1.27,ɛː,phones,015054
1.27,1.28,r,phones,015054
1.28,1.47,ʏ,phones,015054
1.47,1.48,θ,phones,015054
1.48,1.63,œyː,phones,015054
1.63,1.75,s,phones,015054
1.75,1.77,v,phones,015054
1.77,1.89,ɔː,phones,015054
1.89,1.96,k,phones,015054
1.96,1.97,r,phones,015054
1.97,2.09,ɪ,phones,015054
2.09,2.26,m,phones,015054
2.26,2.4,aː,phones,015054
2.4,2.41,ð,phones,015054
2.41,2.42,θ,phones,015054
2.42,2.51,œyː,phones,015054
2.51,2.57,r,phones,015054
2.57,2.75,auː,phones,015054
2.75,2.82,ð,phones,015054
2.82,2.89,ɪ,phones,015054
2.89,2.96,s,phones,015054
2.96,3.01,t,phones,015054
3.01,3.07,auː,phones,015054
3.07,3.15,m,phones,015054
3.15,3.26,ɛ,phones,015054
3.26,3.46,n,phones,015054
