Begin,End,Label,Type,Speaker
0.78,1.25,hvernig,words,012434
1.25,1.66,sjáum,words,012434
1.66,1.74,við,words,012434
1.74,2.43,liti,words,012434
0.78,0.86,k,phones,012434
0.86,0.88,v,phones,012434
0.88,0.96,ɛ,phones,012434
0.96,1.07,t,phones,012434
1.07,1.11,n,phones,012434
1.11,1.23,ɪ,phones,012434
1.23,1.25,ɣ,phones,012434
1.25,1.37,s,phones,012434
1.37,1.42,j,phones,012434
1.42,1.6,auː,phones,012434
1.6,1.63,ʏ,phones,012434
1.63,1.66,m,phones,012434
1.66,1.68,v,phones,012434
1.68,1.73,ɪː,phones,012434
1.73,1.74,ð,phones,012434
1.74,1.77,l,phones,012434
1.77,1.88,ɪː,phones,012434
1.88,1.98,t,phones,012434
1.98,2.43,ɪ,phones,012434
