Begin,End,Label,Type,Speaker
0.71,0.95,vildi,words,013948
0.95,1.05,ég,words,013948
1.05,1.34,koma,words,013948
1.34,1.81,með,words,013948
0.71,0.74,v,phones,013948
0.74,0.79,ɪ,phones,013948
0.79,0.83,l,phones,013948
0.83,0.91,t,phones,013948
0.91,0.95,ɪ,phones,013948
0.95,0.98,j,phones,013948
0.98,1.03,ɛː,phones,013948
1.03,1.05,ɣ,phones,013948
1.05,1.12,kʰ,phones,013948
1.12,1.16,ɔː,phones,013948
1.16,1.24,m,phones,013948
1.24,1.34,a,phones,013948
1.34,1.43,m,phones,013948
1.43,1.8,ɛː,phones,013948
1.8,1.81,ð,phones,013948
