Begin,End,Label,Type,Speaker
0.88,1.17,hvað,words,016634
1.17,1.26,er,words,016634
1.26,1.4,í,words,016634
1.4,2.04,pokanum,words,016634
0.88,0.98,k,phones,016634
0.98,1.0,v,phones,016634
1.0,1.13,aː,phones,016634
1.13,1.17,ð,phones,016634
1.17,1.25,ɛː,phones,016634
1.25,1.26,r,phones,016634
1.26,1.4,iː,phones,016634
1.4,1.47,pʰ,phones,016634
1.47,1.64,ɔː,phones,016634
1.64,1.71,k,phones,016634
1.71,1.78,a,phones,016634
1.78,1.84,n,phones,016634
1.84,1.89,ʏ,phones,016634
1.89,2.04,m,phones,016634
