Begin,End,Label,Type,Speaker
0.71,1.3,hvers,words,010659
1.35,1.75,eru,words,010659
1.75,2.24,gen,words,010659
2.3,3.16,megnug,words,010659
0.71,0.83,k,phones,010659
0.83,0.85,v,phones,010659
0.85,0.98,ɛ,phones,010659
0.98,1.02,r̥,phones,010659
1.02,1.3,s,phones,010659
1.35,1.56,ɛː,phones,010659
1.56,1.57,r,phones,010659
1.57,1.75,ʏ,phones,010659
1.75,1.83,c,phones,010659
1.83,2.08,ɛː,phones,010659
2.08,2.24,n,phones,010659
2.3,2.4,m,phones,010659
2.4,2.5,ɛ,phones,010659
2.5,2.63,k,phones,010659
2.63,2.7,n,phones,010659
2.7,2.82,ʏ,phones,010659
2.82,3.16,ɣ,phones,010659
