Begin,End,Label,Type,Speaker
0.61,0.8,hvað,words,014133
0.8,1.02,búa,words,014133
1.02,1.34,margir,words,014133
1.34,1.39,í,words,014133
1.39,2.0,grundarfirði,words,014133
0.61,0.66,k,phones,014133
0.66,0.68,v,phones,014133
0.68,0.79,aː,phones,014133
0.79,0.8,ð,phones,014133
0.8,0.85,p,phones,014133
0.85,0.97,uː,phones,014133
0.97,1.02,a,phones,014133
1.02,1.08,m,phones,014133
1.08,1.16,a,phones,014133
1.16,1.23,r,phones,014133
1.23,1.28,c,phones,014133
1.28,1.33,ɪ,phones,014133
1.33,1.34,r,phones,014133
1.34,1.39,iː,phones,014133
1.39,1.46,k,phones,014133
1.46,1.47,r,phones,014133
1.47,1.56,ʏ,phones,014133
1.56,1.61,n,phones,014133
1.61,1.66,t,phones,014133
1.66,1.7,a,phones,014133
1.7,1.74,f,phones,014133
1.74,1.8,ɪ,phones,014133
1.8,1.81,r,phones,014133
1.81,1.86,ð,phones,014133
1.86,2.0,ɪ,phones,014133
