Begin,End,Label,Type,Speaker
0.69,1.43,antonía,words,012594
1.81,2.03,er,words,012594
2.03,2.61,opið,words,012594
2.61,2.68,í,words,012594
2.68,3.6,húsasmiðjunni,words,012594
0.69,0.8,a,phones,012594
0.8,0.94,n̥,phones,012594
0.94,1.0,t,phones,012594
1.0,1.05,ɔ,phones,012594
1.05,1.11,n,phones,012594
1.11,1.15,i,phones,012594
1.15,1.22,j,phones,012594
1.22,1.43,a,phones,012594
1.81,1.92,ɛː,phones,012594
1.92,2.03,r,phones,012594
2.03,2.26,ɔː,phones,012594
2.26,2.42,p,phones,012594
2.42,2.6,ɪ,phones,012594
2.6,2.61,ð,phones,012594
2.61,2.68,iː,phones,012594
2.68,2.78,h,phones,012594
2.78,2.89,uː,phones,012594
2.89,2.98,s,phones,012594
2.98,3.04,a,phones,012594
3.04,3.12,s,phones,012594
3.12,3.18,m,phones,012594
3.18,3.25,ɪ,phones,012594
3.25,3.26,ð,phones,012594
3.26,3.33,j,phones,012594
3.33,3.37,ʏ,phones,012594
3.37,3.43,n,phones,012594
3.43,3.6,ɪ,phones,012594
