Begin,End,Label,Type,Speaker
0.85,1.51,einfalt,words,011114
1.51,1.6,og,words,011114
1.6,2.03,gott,words,011114
2.55,2.87,hvaða,words,011114
2.87,3.27,lið,words,011114
3.27,3.91,mættust,words,011114
3.91,4.22,þá,words,011114
4.45,4.68,og,words,011114
4.68,5.3,hverjir,words,011114
5.3,5.67,höfðu,words,011114
5.67,6.31,betur,words,011114
0.85,1.0,ei,phones,011114
1.0,1.1,n,phones,011114
1.1,1.25,f,phones,011114
1.25,1.34,a,phones,011114
1.34,1.36,l̥,phones,011114
1.36,1.51,t,phones,011114
1.51,1.57,ɔː,phones,011114
1.57,1.6,ɣ,phones,011114
1.6,1.65,k,phones,011114
1.65,1.77,ɔ,phones,011114
1.77,1.9,h,phones,011114
1.9,2.03,t,phones,011114
2.55,2.65,k,phones,011114
2.65,2.67,v,phones,011114
2.67,2.78,aː,phones,011114
2.78,2.79,ð,phones,011114
2.79,2.87,a,phones,011114
2.87,2.99,l,phones,011114
2.99,3.26,ɪː,phones,011114
3.26,3.27,ð,phones,011114
3.27,3.39,m,phones,011114
3.39,3.46,ai,phones,011114
3.46,3.59,h,phones,011114
3.59,3.71,t,phones,011114
3.71,3.76,ʏ,phones,011114
3.76,3.87,s,phones,011114
3.87,3.91,t,phones,011114
3.91,3.92,θ,phones,011114
3.92,4.22,auː,phones,011114
4.45,4.62,ɔː,phones,011114
4.62,4.68,ɣ,phones,011114
4.68,4.85,k,phones,011114
4.85,4.87,v,phones,011114
4.87,4.98,ɛ,phones,011114
4.98,4.99,r,phones,011114
4.99,5.21,j,phones,011114
5.21,5.26,ɪ,phones,011114
5.26,5.3,r,phones,011114
5.3,5.42,h,phones,011114
5.42,5.48,œ,phones,011114
5.48,5.5,v,phones,011114
5.5,5.58,ð,phones,011114
5.58,5.67,ʏ,phones,011114
5.67,5.71,p,phones,011114
5.71,5.95,ɛː,phones,011114
5.95,6.0,t,phones,011114
6.0,6.09,ʏ,phones,011114
6.09,6.31,r,phones,011114
