Begin,End,Label,Type,Speaker
1.05,1.14,í,words,013991
1.14,1.61,heild,words,013991
1.61,1.87,hljóðar,words,013991
1.87,2.45,spurningin,words,013991
2.45,2.89,svona,words,013991
2.89,3.23,hvort,words,013991
3.23,3.3,er,words,013991
3.3,3.72,réttara,words,013991
3.72,3.78,að,words,013991
3.78,4.19,skrifa,words,013991
4.19,4.87,krýsuvík,words,013991
4.87,5.05,eða,words,013991
5.05,5.82,krísuvík,words,013991
1.05,1.14,iː,phones,013991
1.14,1.25,h,phones,013991
1.25,1.36,ei,phones,013991
1.36,1.51,l,phones,013991
1.51,1.61,t,phones,013991
1.61,1.64,l̥,phones,013991
1.64,1.68,j,phones,013991
1.68,1.75,ouː,phones,013991
1.75,1.82,ð,phones,013991
1.82,1.86,a,phones,013991
1.86,1.87,r,phones,013991
1.87,1.98,s,phones,013991
1.98,2.05,p,phones,013991
2.05,2.11,ʏ,phones,013991
2.11,2.18,r,phones,013991
2.18,2.21,t,phones,013991
2.21,2.24,n,phones,013991
2.24,2.27,i,phones,013991
2.27,2.3,ɲ,phones,013991
2.3,2.33,c,phones,013991
2.33,2.39,ɪ,phones,013991
2.39,2.45,n,phones,013991
2.45,2.57,s,phones,013991
2.57,2.59,v,phones,013991
2.59,2.7,ɔː,phones,013991
2.7,2.78,n,phones,013991
2.78,2.89,a,phones,013991
2.89,2.97,k,phones,013991
2.97,2.99,v,phones,013991
2.99,3.07,ɔ,phones,013991
3.07,3.18,r̥,phones,013991
3.18,3.23,t,phones,013991
3.23,3.27,ɛː,phones,013991
3.27,3.3,r,phones,013991
3.3,3.32,r,phones,013991
3.32,3.38,j,phones,013991
3.38,3.44,ɛ,phones,013991
3.44,3.52,h,phones,013991
3.52,3.6,t,phones,013991
3.6,3.68,a,phones,013991
3.68,3.69,r,phones,013991
3.69,3.72,a,phones,013991
3.72,3.77,aː,phones,013991
3.77,3.78,ð,phones,013991
3.78,3.87,s,phones,013991
3.87,3.93,k,phones,013991
3.93,3.94,r,phones,013991
3.94,4.07,ɪː,phones,013991
4.07,4.09,v,phones,013991
4.09,4.19,a,phones,013991
4.19,4.29,kʰ,phones,013991
4.29,4.3,r,phones,013991
4.3,4.4,iː,phones,013991
4.4,4.53,s,phones,013991
4.53,4.63,ʏ,phones,013991
4.63,4.65,v,phones,013991
4.65,4.8,iː,phones,013991
4.8,4.87,k,phones,013991
4.87,4.92,ɛː,phones,013991
4.92,4.97,ð,phones,013991
4.97,5.05,a,phones,013991
5.05,5.15,kʰ,phones,013991
5.15,5.16,r,phones,013991
5.16,5.26,iː,phones,013991
5.26,5.37,s,phones,013991
5.37,5.46,ʏ,phones,013991
5.46,5.48,v,phones,013991
5.48,5.6,iː,phones,013991
5.6,5.82,k,phones,013991
