Begin,End,Label,Type,Speaker
0.89,1.06,hvað,words,008597
1.06,1.35,heitir,words,008597
1.35,1.96,eitraðasta,words,008597
1.96,2.56,slangan,words,008597
2.56,2.72,eða,words,008597
2.72,3.38,snákurinn,words,008597
0.89,0.97,k,phones,008597
0.97,0.99,v,phones,008597
0.99,1.05,aː,phones,008597
1.05,1.06,ð,phones,008597
1.06,1.13,h,phones,008597
1.13,1.22,eiː,phones,008597
1.22,1.27,t,phones,008597
1.27,1.32,ɪ,phones,008597
1.32,1.35,r,phones,008597
1.35,1.96,spn,phones,008597
1.96,2.05,s,phones,008597
2.05,2.09,t,phones,008597
2.09,2.16,l,phones,008597
2.16,2.24,au,phones,008597
2.24,2.36,ŋ,phones,008597
2.36,2.42,k,phones,008597
2.42,2.49,a,phones,008597
2.49,2.56,n,phones,008597
2.56,2.61,ɛː,phones,008597
2.61,2.68,ð,phones,008597
2.68,2.72,a,phones,008597
2.72,2.81,s,phones,008597
2.81,2.84,t,phones,008597
2.84,2.88,n,phones,008597
2.88,3.03,auː,phones,008597
3.03,3.11,k,phones,008597
3.11,3.14,ʏ,phones,008597
3.14,3.15,r,phones,008597
3.15,3.23,ɪ,phones,008597
3.23,3.38,n,phones,008597
