Begin,End,Label,Type,Speaker
0.73,1.28,hver,words,013441
1.31,1.38,er,words,013441
1.38,1.84,stofn,words,013441
1.84,2.17,þeirra,words,013441
2.47,2.56,er,words,013441
2.56,2.92,einhver,words,013441
2.92,3.65,samkeppni,words,013441
3.72,3.84,og,words,013441
3.84,4.17,hvert,words,013441
4.17,4.28,er,words,013441
4.28,4.88,kjörbýli,words,013441
4.88,5.19,þeirra,words,013441
0.73,0.88,k,phones,013441
0.88,0.9,v,phones,013441
0.9,1.19,ɛː,phones,013441
1.19,1.28,r,phones,013441
1.31,1.37,ɛː,phones,013441
1.37,1.38,r,phones,013441
1.38,1.51,s,phones,013441
1.51,1.56,t,phones,013441
1.56,1.68,ɔ,phones,013441
1.68,1.74,p,phones,013441
1.74,1.84,n̥,phones,013441
1.84,1.85,θ,phones,013441
1.85,1.98,ei,phones,013441
1.98,2.01,r,phones,013441
2.01,2.17,a,phones,013441
2.47,2.55,ɛː,phones,013441
2.55,2.56,r,phones,013441
2.56,2.68,ei,phones,013441
2.68,2.82,ŋ̊,phones,013441
2.82,2.85,k,phones,013441
2.85,2.87,v,phones,013441
2.87,2.91,ɛ,phones,013441
2.91,2.92,r,phones,013441
2.92,3.04,s,phones,013441
3.04,3.11,a,phones,013441
3.11,3.23,m,phones,013441
3.23,3.31,c,phones,013441
3.31,3.37,ɛ,phones,013441
3.37,3.4,h,phones,013441
3.4,3.45,p,phones,013441
3.45,3.5,n,phones,013441
3.5,3.65,ɪ,phones,013441
3.72,3.78,ɔː,phones,013441
3.78,3.84,ɣ,phones,013441
3.84,3.93,k,phones,013441
3.93,3.95,v,phones,013441
3.95,4.02,ɛ,phones,013441
4.02,4.12,r̥,phones,013441
4.12,4.17,t,phones,013441
4.17,4.2,ɛː,phones,013441
4.2,4.28,r,phones,013441
4.28,4.88,spn,phones,013441
4.88,4.89,θ,phones,013441
4.89,4.99,ei,phones,013441
4.99,5.06,r,phones,013441
5.06,5.19,a,phones,013441
