Begin,End,Label,Type,Speaker
0.72,0.99,er,words,014105
0.99,1.36,búið,words,014105
1.36,1.49,að,words,014105
1.7,2.56,taka,words,014105
2.76,3.57,kúluna,words,014105
0.72,0.89,ɛː,phones,014105
0.89,0.99,r,phones,014105
0.99,1.06,p,phones,014105
1.06,1.12,uː,phones,014105
1.12,1.16,ɪ,phones,014105
1.16,1.36,ð,phones,014105
1.36,1.48,aː,phones,014105
1.48,1.49,ð,phones,014105
1.7,1.83,tʰ,phones,014105
1.83,2.13,aː,phones,014105
2.13,2.2,k,phones,014105
2.2,2.56,a,phones,014105
2.76,2.87,kʰ,phones,014105
2.87,3.0,uː,phones,014105
3.0,3.13,l,phones,014105
3.13,3.23,ʏ,phones,014105
3.23,3.33,n,phones,014105
3.33,3.57,a,phones,014105
