Begin,End,Label,Type,Speaker
0.67,1.48,guðlaug,words,012296
1.54,1.98,hefur,words,012296
1.98,2.26,verið,words,012296
2.26,2.87,lengi,words,012296
2.87,3.49,viðriðin,words,012296
3.49,4.48,knattspyrnu,words,012296
4.79,5.17,hvernig,words,012296
5.17,5.49,finnst,words,012296
5.49,5.88,henni,words,012296
5.88,6.48,þróunin,words,012296
6.48,6.55,á,words,012296
6.55,7.4,landsbankadeild,words,012296
7.4,7.91,kvenna,words,012296
0.67,0.75,k,phones,012296
0.75,0.77,v,phones,012296
0.77,0.98,ʏ,phones,012296
0.98,1.01,ð,phones,012296
1.01,1.11,l,phones,012296
1.11,1.26,œy,phones,012296
1.26,1.48,ɣ,phones,012296
1.54,1.64,h,phones,012296
1.64,1.77,ɛː,phones,012296
1.77,1.79,v,phones,012296
1.79,1.84,ʏ,phones,012296
1.84,1.98,r,phones,012296
1.98,2.0,v,phones,012296
2.0,2.12,ɛː,phones,012296
2.12,2.13,r,phones,012296
2.13,2.25,ɪ,phones,012296
2.25,2.26,ð,phones,012296
2.26,2.35,l,phones,012296
2.35,2.43,ei,phones,012296
2.43,2.64,ɲ,phones,012296
2.64,2.71,c,phones,012296
2.71,2.87,ɪ,phones,012296
2.87,2.89,v,phones,012296
2.89,3.04,ɪ,phones,012296
3.04,3.14,ð,phones,012296
3.14,3.15,r,phones,012296
3.15,3.27,ɪ,phones,012296
3.27,3.31,ð,phones,012296
3.31,3.38,ɪ,phones,012296
3.38,3.49,n,phones,012296
3.49,3.59,k,phones,012296
3.59,3.62,n,phones,012296
3.62,3.69,a,phones,012296
3.69,3.82,h,phones,012296
3.82,3.89,t,phones,012296
3.89,3.99,s,phones,012296
3.99,4.05,p,phones,012296
4.05,4.11,ɪ,phones,012296
4.11,4.18,r,phones,012296
4.18,4.21,t,phones,012296
4.21,4.27,n,phones,012296
4.27,4.48,ʏ,phones,012296
4.79,4.86,k,phones,012296
4.86,4.88,v,phones,012296
4.88,4.96,ɛ,phones,012296
4.96,5.03,t,phones,012296
5.03,5.06,n,phones,012296
5.06,5.12,ɪ,phones,012296
5.12,5.17,ɣ,phones,012296
5.17,5.22,f,phones,012296
5.22,5.29,ɪ,phones,012296
5.29,5.34,n,phones,012296
5.34,5.43,s,phones,012296
5.43,5.49,t,phones,012296
5.49,5.56,h,phones,012296
5.56,5.61,ɛ,phones,012296
5.61,5.72,n,phones,012296
5.72,5.88,ɪ,phones,012296
5.88,5.89,θ,phones,012296
5.89,5.92,r,phones,012296
5.92,6.2,ouː,phones,012296
6.2,6.24,ʏ,phones,012296
6.24,6.31,n,phones,012296
6.31,6.37,ɪ,phones,012296
6.37,6.48,n,phones,012296
6.48,6.55,auː,phones,012296
6.55,6.62,l,phones,012296
6.62,6.69,a,phones,012296
6.69,6.74,n,phones,012296
6.74,6.81,t,phones,012296
6.81,6.89,s,phones,012296
6.89,6.94,p,phones,012296
6.94,6.99,au,phones,012296
6.99,7.04,ŋ̊,phones,012296
7.04,7.08,k,phones,012296
7.08,7.15,a,phones,012296
7.15,7.19,t,phones,012296
7.19,7.27,ei,phones,012296
7.27,7.34,l,phones,012296
7.34,7.4,t,phones,012296
7.4,7.49,k,phones,012296
7.49,7.51,v,phones,012296
7.51,7.58,ɛ,phones,012296
7.58,7.75,n,phones,012296
7.75,7.91,a,phones,012296
